Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
evm.TU.scaffold_0.11	41699705	41737812	chr9	1
evm.TU.scaffold_0.12	41664114	41669330	chr9	-1
evm.TU.scaffold_0.15	41389940	41390837	chr9	1
evm.TU.scaffold_0.16	41264120	41276395	chr9	-1
evm.TU.scaffold_0.18	40681797	40716025	chr9	-1
evm.TU.scaffold_0.19	40681112	40681739	chr9	1
evm.TU.scaffold_0.22	40098360	40120771	chr9	1
evm.TU.scaffold_0.23	39744689	39760420	chr9	-1
evm.TU.scaffold_0.2	42027153	42027506	chr9	-1
evm.TU.scaffold_0.5	41939378	41951767	chr9	1
evm.TU.scaffold_0.7	41884112	41920441	chr9	1
evm.TU.scaffold_0.8	41877015	41881869	chr9	1
evm.TU.scaffold_1000.10	102148182	102162681	chr2	1
evm.TU.scaffold_1000.1	101974315	101974713	chr2	1
evm.TU.scaffold_1000.11	102172056	102180880	chr2	-1
evm.TU.scaffold_1000.13	102196436	102203824	chr2	-1
evm.TU.scaffold_1000.14	102216487	102217491	chr2	1
evm.TU.scaffold_1000.15	102219957	102223729	chr2	-1
evm.TU.scaffold_1000.16	102232313	102257291	chr2	1
evm.TU.scaffold_1000.17	102258643	102265412	chr2	1
evm.TU.scaffold_1000.18	102274596	102294036	chr2	1
evm.TU.scaffold_1000.19	102296770	102296931	chr2	-1
evm.TU.scaffold_1000.20	102334322	102338027	chr2	1
evm.TU.scaffold_1000.2	101975523	101979838	chr2	1
evm.TU.scaffold_1000.21	102356033	102357274	chr2	-1
evm.TU.scaffold_1000.22	102359312	102374448	chr2	1
evm.TU.scaffold_1000.23	102384326	102386630	chr2	1
evm.TU.scaffold_1000.24	102394848	102402839	chr2	-1
evm.TU.scaffold_1000.25	102422612	102423163	chr2	-1
evm.TU.scaffold_1000.26	102423400	102424230	chr2	-1
evm.TU.scaffold_1000.27	102448259	102462681	chr2	1
evm.TU.scaffold_1000.28	102464717	102465554	chr2	-1
evm.TU.scaffold_1000.29	102468366	102469408	chr2	-1
evm.TU.scaffold_1000.30	102470462	102475806	chr2	-1
evm.TU.scaffold_1000.33	102510969	102511772	chr2	-1
evm.TU.scaffold_1000.35	102586602	102588003	chr2	-1
evm.TU.scaffold_1000.36	102663281	102677772	chr2	-1
evm.TU.scaffold_1000.38	102687232	102689178	chr2	-1
evm.TU.scaffold_1000.39	102689201	102689578	chr2	-1
evm.TU.scaffold_1000.4	101990881	102001170	chr2	1
evm.TU.scaffold_1000.42	102710107	102714386	chr2	1
evm.TU.scaffold_1000.43	102714611	102714937	chr2	1
evm.TU.scaffold_1000.44	102719898	102726306	chr2	1
evm.TU.scaffold_1000.45	102726327	102727263	chr2	1
evm.TU.scaffold_1000.46	102731728	102732408	chr2	1
evm.TU.scaffold_1000.47	102743629	102751468	chr2	1
evm.TU.scaffold_1000.50	102890885	102892527	chr2	1
evm.TU.scaffold_1000.5	102003496	102046133	chr2	1
evm.TU.scaffold_1000.51	102899574	102902106	chr2	1
evm.TU.scaffold_1000.53	102924742	102930425	chr2	1
evm.TU.scaffold_1000.54	102939288	102941238	chr2	1
evm.TU.scaffold_1000.55	102942973	102947411	chr2	1
evm.TU.scaffold_1000.56	102947818	102950169	chr2	1
evm.TU.scaffold_1000.60	102956880	102969420	chr2	-1
evm.TU.scaffold_1000.7	102096126	102099760	chr2	1
evm.TU.scaffold_1000.8	102102083	102114331	chr2	-1
evm.TU.scaffold_1000.9	102117639	102146034	chr2	1
evm.TU.scaffold_100.100	98938407	98939836	chr4	1
evm.TU.scaffold_100.101	98955680	98955982	chr4	1
evm.TU.scaffold_100.102	98967463	98973678	chr4	1
evm.TU.scaffold_100.10	97436830	97442386	chr4	1
evm.TU.scaffold_1001.18	19185367	19189051	chr9	-1
evm.TU.scaffold_1001.20	19083464	19085256	chr9	-1
evm.TU.scaffold_1001.21	19049743	19064766	chr9	1
evm.TU.scaffold_1001.22	19012115	19034284	chr9	1
evm.TU.scaffold_1001.23	19008457	19009712	chr9	1
evm.TU.scaffold_1001.24	18998291	19005425	chr9	1
evm.TU.scaffold_1001.25	18997276	18998250	chr9	1
evm.TU.scaffold_1001.26	18963209	18985578	chr9	-1
evm.TU.scaffold_1001.27	18950367	18961366	chr9	1
evm.TU.scaffold_1001.28	18862778	18869145	chr9	1
evm.TU.scaffold_1001.29	18831159	18833465	chr9	-1
evm.TU.scaffold_1001.30	18830131	18831126	chr9	-1
evm.TU.scaffold_1001.31	18792838	18825402	chr9	-1
evm.TU.scaffold_1001.33	18732995	18733692	chr9	1
evm.TU.scaffold_1001.35	18563669	18570174	chr9	-1
evm.TU.scaffold_1001.38	18520070	18521011	chr9	-1
evm.TU.scaffold_100.13	97460834	97461394	chr4	-1
evm.TU.scaffold_100.14	97485846	97486798	chr4	1
evm.TU.scaffold_100.15	97512739	97524826	chr4	1
evm.TU.scaffold_100.16	97576048	97576998	chr4	-1
evm.TU.scaffold_100.17	97577107	97577466	chr4	-1
evm.TU.scaffold_1001.8	19311594	19312049	chr9	-1
evm.TU.scaffold_100.18	97600691	97629216	chr4	-1
evm.TU.scaffold_100.1	97217613	97218631	chr4	1
evm.TU.scaffold_100.19	97630444	97634604	chr4	-1
evm.TU.scaffold_100.21	97646573	97652070	chr4	1
evm.TU.scaffold_100.22	97655926	97656681	chr4	-1
evm.TU.scaffold_100.23	97675486	97691020	chr4	-1
evm.TU.scaffold_100.24	97696531	97703199	chr4	-1
evm.TU.scaffold_100.25	97708161	97715304	chr4	-1
evm.TU.scaffold_100.26	97736031	97751871	chr4	1
evm.TU.scaffold_100.27	97758727	97777181	chr4	-1
evm.TU.scaffold_100.2	97249998	97250462	chr4	1
evm.TU.scaffold_100.29	97779170	97797954	chr4	1
evm.TU.scaffold_100.30	97808149	97810558	chr4	1
evm.TU.scaffold_1003.1	72764	74278	original_scaffold_1003	-1
evm.TU.scaffold_100.31	97825467	97825965	chr4	-1
evm.TU.scaffold_1003.2	76101	79713	original_scaffold_1003	-1
evm.TU.scaffold_100.32	97865661	97872641	chr4	1
evm.TU.scaffold_1003.3	115127	121877	original_scaffold_1003	1
evm.TU.scaffold_100.33	97874148	97882066	chr4	-1
evm.TU.scaffold_1003.4	123908	124219	original_scaffold_1003	1
evm.TU.scaffold_100.34	97889482	97893172	chr4	-1
evm.TU.scaffold_1003.5	155724	158394	original_scaffold_1003	1
evm.TU.scaffold_1003.6	43144	46512	original_scaffold_1003	-1
evm.TU.scaffold_100.36	97973560	97979014	chr4	-1
evm.TU.scaffold_1003.7	10089	10409	original_scaffold_1003	-1
evm.TU.scaffold_100.37	97992909	98043767	chr4	-1
evm.TU.scaffold_100.38	98048131	98076008	chr4	-1
evm.TU.scaffold_100.3	97256389	97257171	chr4	-1
evm.TU.scaffold_100.39	98079680	98167661	chr4	1
evm.TU.scaffold_100.40	98169289	98171322	chr4	-1
evm.TU.scaffold_100.41	98173447	98176502	chr4	1
evm.TU.scaffold_100.42	98176718	98178750	chr4	-1
evm.TU.scaffold_100.43	98182295	98195146	chr4	1
evm.TU.scaffold_100.44	98205988	98211079	chr4	1
evm.TU.scaffold_100.45	98217517	98232571	chr4	1
evm.TU.scaffold_100.46	98242060	98248020	chr4	-1
evm.TU.scaffold_100.47	98249115	98250555	chr4	-1
evm.TU.scaffold_100.48	98250675	98255077	chr4	-1
evm.TU.scaffold_100.49	98259658	98265971	chr4	-1
evm.TU.scaffold_1005.1	144789144	144834878	chr3	1
evm.TU.scaffold_100.51	98275182	98281683	chr4	1
evm.TU.scaffold_1005.2	144842643	144843339	chr3	1
evm.TU.scaffold_100.52	98288356	98290139	chr4	-1
evm.TU.scaffold_1005.4	145023140	145036348	chr3	-1
evm.TU.scaffold_100.54	98301246	98302099	chr4	-1
evm.TU.scaffold_100.55	98309524	98311215	chr4	-1
evm.TU.scaffold_100.57	98327124	98345011	chr4	-1
evm.TU.scaffold_100.5	97285243	97285728	chr4	-1
evm.TU.scaffold_100.59	98354847	98364188	chr4	-1
evm.TU.scaffold_100.60	98375810	98382223	chr4	1
evm.TU.scaffold_100.61	98387750	98399040	chr4	1
evm.TU.scaffold_100.62	98413870	98417517	chr4	1
evm.TU.scaffold_100.63	98420118	98434731	chr4	1
evm.TU.scaffold_100.64	98435910	98439117	chr4	-1
evm.TU.scaffold_100.65_evm.TU.scaffold_100.66	98442757	98453588	chr4	-1
evm.TU.scaffold_100.67	98456646	98457724	chr4	-1
evm.TU.scaffold_100.69	98472596	98472880	chr4	-1
evm.TU.scaffold_1007.1	7636	8957	original_scaffold_1007	-1
evm.TU.scaffold_100.71	98492951	98496007	chr4	1
evm.TU.scaffold_1007.2	22923	23898	original_scaffold_1007	-1
evm.TU.scaffold_100.72	98497569	98505648	chr4	-1
evm.TU.scaffold_100.73	98507724	98515583	chr4	1
evm.TU.scaffold_100.74	98522352	98568386	chr4	1
evm.TU.scaffold_100.75	98583000	98617181	chr4	1
evm.TU.scaffold_100.76	98619257	98621223	chr4	1
evm.TU.scaffold_100.78	98631150	98640457	chr4	-1
evm.TU.scaffold_100.79	98645391	98653929	chr4	-1
